Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_003704035.1	Primary Assembly	Un			ML112821.1	Chromosome		NW_024590211.1	unplaced-scaffold	58428			scaffold00592
GCF_003704035.1	Primary Assembly	Un			ML112822.1	Chromosome		NW_024590212.1	unplaced-scaffold	61356			scaffold00593
GCF_003704035.1	Primary Assembly	Un			ML112823.1	Chromosome		NW_024590213.1	unplaced-scaffold	57212			scaffold00594
GCF_003704035.1	Primary Assembly	Un			ML112824.1	Chromosome		NW_024590214.1	unplaced-scaffold	64463			scaffold00595
GCF_003704035.1	Primary Assembly	Un			ML112825.1	Chromosome		NW_024590215.1	unplaced-scaffold	36481			scaffold00596
GCF_003704035.1	Primary Assembly	Un			ML112826.1	Chromosome		NW_024590216.1	unplaced-scaffold	63917			scaffold00598
GCF_003704035.1	Primary Assembly	Un			ML112827.1	Chromosome		NW_024590217.1	unplaced-scaffold	57431			scaffold00599
GCF_003704035.1	Primary Assembly	Un			ML112828.1	Chromosome		NW_024590218.1	unplaced-scaffold	57177			scaffold00600
GCF_003704035.1	Primary Assembly	Un			ML112829.1	Chromosome		NW_024590219.1	unplaced-scaffold	56906			scaffold00602
GCF_003704035.1	Primary Assembly	Un			ML112830.1	Chromosome		NW_024590220.1	unplaced-scaffold	56053			scaffold00603
GCF_003704035.1	Primary Assembly	Un			ML112831.1	Chromosome		NW_024590221.1	unplaced-scaffold	60582			scaffold00604
GCF_003704035.1	Primary Assembly	Un			ML112832.1	Chromosome		NW_024590222.1	unplaced-scaffold	56076			scaffold00605
GCF_003704035.1	Primary Assembly	Un			ML112833.1	Chromosome		NW_024590223.1	unplaced-scaffold	58042			scaffold00606
GCF_003704035.1	Primary Assembly	Un			ML112834.1	Chromosome		NW_024590224.1	unplaced-scaffold	58175			scaffold00607
GCF_003704035.1	Primary Assembly	Un			ML112835.1	Chromosome		NW_024590225.1	unplaced-scaffold	56921			scaffold00608
GCF_003704035.1	Primary Assembly	Un			ML112836.1	Chromosome		NW_024590226.1	unplaced-scaffold	55747			scaffold00609
GCF_003704035.1	Primary Assembly	Un			ML112837.1	Chromosome		NW_024590227.1	unplaced-scaffold	57286			scaffold00612
GCF_003704035.1	Primary Assembly	Un			ML112838.1	Chromosome		NW_024590228.1	unplaced-scaffold	54237			scaffold00613
GCF_003704035.1	Primary Assembly	Un			ML112839.1	Chromosome		NW_024590229.1	unplaced-scaffold	60336			scaffold00614
GCF_003704035.1	Primary Assembly	Un			ML112840.1	Chromosome		NW_024590230.1	unplaced-scaffold	55271			scaffold00615
GCF_003704035.1	Primary Assembly	Un			ML112841.1	Chromosome		NW_024590231.1	unplaced-scaffold	54889			scaffold00616
GCF_003704035.1	Primary Assembly	Un			ML112842.1	Chromosome		NW_024590232.1	unplaced-scaffold	54871			scaffold00617
GCF_003704035.1	Primary Assembly	Un			ML112843.1	Chromosome		NW_024590233.1	unplaced-scaffold	54642			scaffold00618
GCF_003704035.1	Primary Assembly	Un			ML112844.1	Chromosome		NW_024590234.1	unplaced-scaffold	55594			scaffold00619
GCF_003704035.1	Primary Assembly	Un			ML112845.1	Chromosome		NW_024590235.1	unplaced-scaffold	61426			scaffold00621
GCF_003704035.1	Primary Assembly	Un			ML112846.1	Chromosome		NW_024590236.1	unplaced-scaffold	53660			scaffold00623
GCF_003704035.1	Primary Assembly	Un			ML112847.1	Chromosome		NW_024590237.1	unplaced-scaffold	53908			scaffold00624
GCF_003704035.1	Primary Assembly	Un			ML112848.1	Chromosome		NW_024590238.1	unplaced-scaffold	53855			scaffold00626
GCF_003704035.1	Primary Assembly	Un			ML112849.1	Chromosome		NW_024590239.1	unplaced-scaffold	53545			scaffold00627
GCF_003704035.1	Primary Assembly	Un			ML112850.1	Chromosome		NW_024590240.1	unplaced-scaffold	54298			scaffold00628
GCF_003704035.1	Primary Assembly	Un			ML112851.1	Chromosome		NW_024590241.1	unplaced-scaffold	56055			scaffold00629
GCF_003704035.1	Primary Assembly	Un			ML112852.1	Chromosome		NW_024590242.1	unplaced-scaffold	55547			scaffold00630
GCF_003704035.1	Primary Assembly	Un			ML112853.1	Chromosome		NW_024590243.1	unplaced-scaffold	52145			scaffold00631
GCF_003704035.1	Primary Assembly	Un			ML112854.1	Chromosome		NW_024590244.1	unplaced-scaffold	53467			scaffold00632
GCF_003704035.1	Primary Assembly	Un			ML112855.1	Chromosome		NW_024590245.1	unplaced-scaffold	52809			scaffold00633
GCF_003704035.1	Primary Assembly	Un			ML112856.1	Chromosome		NW_024590246.1	unplaced-scaffold	53484			scaffold00634
GCF_003704035.1	Primary Assembly	Un			ML112857.1	Chromosome		NW_024590247.1	unplaced-scaffold	52884			scaffold00636
GCF_003704035.1	Primary Assembly	Un			ML112858.1	Chromosome		NW_024590248.1	unplaced-scaffold	57198			scaffold00637
GCF_003704035.1	Primary Assembly	Un			ML112859.1	Chromosome		NW_024590249.1	unplaced-scaffold	51831			scaffold00638
GCF_003704035.1	Primary Assembly	Un			ML112860.1	Chromosome		NW_024590250.1	unplaced-scaffold	52242			scaffold00639
GCF_003704035.1	Primary Assembly	Un			ML112861.1	Chromosome		NW_024590251.1	unplaced-scaffold	54976			scaffold00640
GCF_003704035.1	Primary Assembly	Un			ML112862.1	Chromosome		NW_024590252.1	unplaced-scaffold	52326			scaffold00641
GCF_003704035.1	Primary Assembly	Un			ML112863.1	Chromosome		NW_024590253.1	unplaced-scaffold	53130			scaffold00642
GCF_003704035.1	Primary Assembly	Un			ML112864.1	Chromosome		NW_024590254.1	unplaced-scaffold	50959			scaffold00643
GCF_003704035.1	Primary Assembly	Un			ML112865.1	Chromosome		NW_024590255.1	unplaced-scaffold	51683			scaffold00644
GCF_003704035.1	Primary Assembly	Un			ML112866.1	Chromosome		NW_024590256.1	unplaced-scaffold	56882			scaffold00645
GCF_003704035.1	Primary Assembly	Un			ML112867.1	Chromosome		NW_024590257.1	unplaced-scaffold	52380			scaffold00647
GCF_003704035.1	Primary Assembly	Un			ML112868.1	Chromosome		NW_024590258.1	unplaced-scaffold	51559			scaffold00648
GCF_003704035.1	Primary Assembly	Un			ML112869.1	Chromosome		NW_024590259.1	unplaced-scaffold	50835			scaffold00649
GCF_003704035.1	Primary Assembly	Un			ML112870.1	Chromosome		NW_024590260.1	unplaced-scaffold	49483			scaffold00650
GCF_003704035.1	Primary Assembly	Un			ML112871.1	Chromosome		NW_024590261.1	unplaced-scaffold	50578			scaffold00651
GCF_003704035.1	Primary Assembly	Un			ML112872.1	Chromosome		NW_024590262.1	unplaced-scaffold	49893			scaffold00652
GCF_003704035.1	Primary Assembly	Un			ML112873.1	Chromosome		NW_024590263.1	unplaced-scaffold	51671			scaffold00653
GCF_003704035.1	Primary Assembly	Un			ML112874.1	Chromosome		NW_024590264.1	unplaced-scaffold	49932			scaffold00655
GCF_003704035.1	Primary Assembly	Un			ML112875.1	Chromosome		NW_024590265.1	unplaced-scaffold	49746			scaffold00656
GCF_003704035.1	Primary Assembly	Un			ML112876.1	Chromosome		NW_024590266.1	unplaced-scaffold	48936			scaffold00657
GCF_003704035.1	Primary Assembly	Un			ML112877.1	Chromosome		NW_024590267.1	unplaced-scaffold	49631			scaffold00658
GCF_003704035.1	Primary Assembly	Un			ML112878.1	Chromosome		NW_024590268.1	unplaced-scaffold	49288			scaffold00659
GCF_003704035.1	Primary Assembly	Un			ML112879.1	Chromosome		NW_024590269.1	unplaced-scaffold	63173			scaffold00660
GCF_003704035.1	Primary Assembly	Un			ML112880.1	Chromosome		NW_024590270.1	unplaced-scaffold	50728			scaffold00661
GCF_003704035.1	Primary Assembly	Un			ML112881.1	Chromosome		NW_024590271.1	unplaced-scaffold	52541			scaffold00662
GCF_003704035.1	Primary Assembly	Un			ML112882.1	Chromosome		NW_024590272.1	unplaced-scaffold	51117			scaffold00663
GCF_003704035.1	Primary Assembly	Un			ML112883.1	Chromosome		NW_024590273.1	unplaced-scaffold	50328			scaffold00664
GCF_003704035.1	Primary Assembly	Un			ML112884.1	Chromosome		NW_024590274.1	unplaced-scaffold	48880			scaffold00665
GCF_003704035.1	Primary Assembly	Un			ML112885.1	Chromosome		NW_024590275.1	unplaced-scaffold	52442			scaffold00666
GCF_003704035.1	Primary Assembly	Un			ML112886.1	Chromosome		NW_024590276.1	unplaced-scaffold	48507			scaffold00667
GCF_003704035.1	Primary Assembly	Un			ML112887.1	Chromosome		NW_024590277.1	unplaced-scaffold	48876			scaffold00668
GCF_003704035.1	Primary Assembly	Un			ML112888.1	Chromosome		NW_024590278.1	unplaced-scaffold	27561			scaffold00670
GCF_003704035.1	Primary Assembly	Un			ML112889.1	Chromosome		NW_024590279.1	unplaced-scaffold	49151			scaffold00671
GCF_003704035.1	Primary Assembly	Un			ML112890.1	Chromosome		NW_024590280.1	unplaced-scaffold	48520			scaffold00672
GCF_003704035.1	Primary Assembly	Un			ML112891.1	Chromosome		NW_024590281.1	unplaced-scaffold	48910			scaffold00673
GCF_003704035.1	Primary Assembly	Un			ML112892.1	Chromosome		NW_024590282.1	unplaced-scaffold	47786			scaffold00674
GCF_003704035.1	Primary Assembly	Un			ML112893.1	Chromosome		NW_024590283.1	unplaced-scaffold	47849			scaffold00675
GCF_003704035.1	Primary Assembly	Un			ML112894.1	Chromosome		NW_024590284.1	unplaced-scaffold	47768			scaffold00676
GCF_003704035.1	Primary Assembly	Un			ML112895.1	Chromosome		NW_024590285.1	unplaced-scaffold	16173			scaffold00677
GCF_003704035.1	Primary Assembly	Un			ML112896.1	Chromosome		NW_024590286.1	unplaced-scaffold	46623			scaffold00678
GCF_003704035.1	Primary Assembly	Un			ML112897.1	Chromosome		NW_024590287.1	unplaced-scaffold	48682			scaffold00679
GCF_003704035.1	Primary Assembly	Un			ML112898.1	Chromosome		NW_024590288.1	unplaced-scaffold	48088			scaffold00681
GCF_003704035.1	Primary Assembly	Un			ML112899.1	Chromosome		NW_024590289.1	unplaced-scaffold	47484			scaffold00682
GCF_003704035.1	Primary Assembly	Un			ML112900.1	Chromosome		NW_024590290.1	unplaced-scaffold	48409			scaffold00683
GCF_003704035.1	Primary Assembly	Un			ML112901.1	Chromosome		NW_024590291.1	unplaced-scaffold	47248			scaffold00684
GCF_003704035.1	Primary Assembly	Un			ML112902.1	Chromosome		NW_024590292.1	unplaced-scaffold	45659			scaffold00685
GCF_003704035.1	Primary Assembly	Un			ML112903.1	Chromosome		NW_024590293.1	unplaced-scaffold	46710			scaffold00686
GCF_003704035.1	Primary Assembly	Un			ML112904.1	Chromosome		NW_024590294.1	unplaced-scaffold	47389			scaffold00687
GCF_003704035.1	Primary Assembly	Un			ML112905.1	Chromosome		NW_024590295.1	unplaced-scaffold	46678			scaffold00689
GCF_003704035.1	Primary Assembly	Un			ML112906.1	Chromosome		NW_024590296.1	unplaced-scaffold	49548			scaffold00690
GCF_003704035.1	Primary Assembly	Un			ML112907.1	Chromosome		NW_024590297.1	unplaced-scaffold	48352			scaffold00691
GCF_003704035.1	Primary Assembly	Un			ML112908.1	Chromosome		NW_024590298.1	unplaced-scaffold	47638			scaffold00692
GCF_003704035.1	Primary Assembly	Un			ML112909.1	Chromosome		NW_024590299.1	unplaced-scaffold	45916			scaffold00693
GCF_003704035.1	Primary Assembly	Un			ML112910.1	Chromosome		NW_024590300.1	unplaced-scaffold	47519			scaffold00694
GCF_003704035.1	Primary Assembly	Un			ML112911.1	Chromosome		NW_024590301.1	unplaced-scaffold	45661			scaffold00695
GCF_003704035.1	Primary Assembly	Un			ML112912.1	Chromosome		NW_024590302.1	unplaced-scaffold	46085			scaffold00697
GCF_003704035.1	Primary Assembly	Un			ML112913.1	Chromosome		NW_024590303.1	unplaced-scaffold	45471			scaffold00698
GCF_003704035.1	Primary Assembly	Un			ML112914.1	Chromosome		NW_024590304.1	unplaced-scaffold	45339			scaffold00699
GCF_003704035.1	Primary Assembly	Un			ML112915.1	Chromosome		NW_024590305.1	unplaced-scaffold	48832			scaffold00700
GCF_003704035.1	Primary Assembly	Un			ML112916.1	Chromosome		NW_024590306.1	unplaced-scaffold	44342			scaffold00701
GCF_003704035.1	Primary Assembly	Un			ML112917.1	Chromosome		NW_024590307.1	unplaced-scaffold	45142			scaffold00702
GCF_003704035.1	Primary Assembly	Un			ML112918.1	Chromosome		NW_024590308.1	unplaced-scaffold	45542			scaffold00703
GCF_003704035.1	Primary Assembly	Un			ML112919.1	Chromosome		NW_024590309.1	unplaced-scaffold	44954			scaffold00704
GCF_003704035.1	Primary Assembly	Un			ML112920.1	Chromosome		NW_024590310.1	unplaced-scaffold	47097			scaffold00705
GCF_003704035.1	Primary Assembly	Un			ML112921.1	Chromosome		NW_024590311.1	unplaced-scaffold	44468			scaffold00706
GCF_003704035.1	Primary Assembly	Un			ML112922.1	Chromosome		NW_024590312.1	unplaced-scaffold	45018			scaffold00707
GCF_003704035.1	Primary Assembly	Un			ML112923.1	Chromosome		NW_024590313.1	unplaced-scaffold	54151			scaffold00708
GCF_003704035.1	Primary Assembly	Un			ML112924.1	Chromosome		NW_024590314.1	unplaced-scaffold	44258			scaffold00709
GCF_003704035.1	Primary Assembly	Un			ML112925.1	Chromosome		NW_024590315.1	unplaced-scaffold	43989			scaffold00710
GCF_003704035.1	Primary Assembly	Un			ML112926.1	Chromosome		NW_024590316.1	unplaced-scaffold	43558			scaffold00711
GCF_003704035.1	Primary Assembly	Un			ML112927.1	Chromosome		NW_024590317.1	unplaced-scaffold	43724			scaffold00712
GCF_003704035.1	Primary Assembly	Un			ML112928.1	Chromosome		NW_024590318.1	unplaced-scaffold	50915			scaffold00714
GCF_003704035.1	Primary Assembly	Un			ML112929.1	Chromosome		NW_024590319.1	unplaced-scaffold	43816			scaffold00715
GCF_003704035.1	Primary Assembly	Un			ML112930.1	Chromosome		NW_024590320.1	unplaced-scaffold	43048			scaffold00716
GCF_003704035.1	Primary Assembly	Un			ML112931.1	Chromosome		NW_024590321.1	unplaced-scaffold	43483			scaffold00717
GCF_003704035.1	Primary Assembly	Un			ML112932.1	Chromosome		NW_024590322.1	unplaced-scaffold	48565			scaffold00718
GCF_003704035.1	Primary Assembly	Un			ML112933.1	Chromosome		NW_024590323.1	unplaced-scaffold	42527			scaffold00719
GCF_003704035.1	Primary Assembly	Un			ML112934.1	Chromosome		NW_024590324.1	unplaced-scaffold	47507			scaffold00720
GCF_003704035.1	Primary Assembly	Un			ML112935.1	Chromosome		NW_024590325.1	unplaced-scaffold	42213			scaffold00721
GCF_003704035.1	Primary Assembly	Un			ML112936.1	Chromosome		NW_024590326.1	unplaced-scaffold	43392			scaffold00722
GCF_003704035.1	Primary Assembly	Un			ML112937.1	Chromosome		NW_024590327.1	unplaced-scaffold	42309			scaffold00723
GCF_003704035.1	Primary Assembly	Un			ML112938.1	Chromosome		NW_024590328.1	unplaced-scaffold	41453			scaffold00724
GCF_003704035.1	Primary Assembly	Un			ML112939.1	Chromosome		NW_024590329.1	unplaced-scaffold	41568			scaffold00725
GCF_003704035.1	Primary Assembly	Un			ML112940.1	Chromosome		NW_024590330.1	unplaced-scaffold	40923			scaffold00726
GCF_003704035.1	Primary Assembly	Un			ML112941.1	Chromosome		NW_024590331.1	unplaced-scaffold	41199			scaffold00727
GCF_003704035.1	Primary Assembly	Un			ML112942.1	Chromosome		NW_024590332.1	unplaced-scaffold	47244			scaffold00728
GCF_003704035.1	Primary Assembly	Un			ML112943.1	Chromosome		NW_024590333.1	unplaced-scaffold	45563			scaffold00729
GCF_003704035.1	Primary Assembly	Un			ML112944.1	Chromosome		NW_024590334.1	unplaced-scaffold	40956			scaffold00730
GCF_003704035.1	Primary Assembly	Un			ML112945.1	Chromosome		NW_024590335.1	unplaced-scaffold	43068			scaffold00732
GCF_003704035.1	Primary Assembly	Un			ML112946.1	Chromosome		NW_024590336.1	unplaced-scaffold	44621			scaffold00733
GCF_003704035.1	Primary Assembly	Un			ML112947.1	Chromosome		NW_024590337.1	unplaced-scaffold	40313			scaffold00734
GCF_003704035.1	Primary Assembly	Un			ML112948.1	Chromosome		NW_024590338.1	unplaced-scaffold	41177			scaffold00735
GCF_003704035.1	Primary Assembly	Un			ML112949.1	Chromosome		NW_024590339.1	unplaced-scaffold	41088			scaffold00737
GCF_003704035.1	Primary Assembly	Un			ML112950.1	Chromosome		NW_024590340.1	unplaced-scaffold	41292			scaffold00738
GCF_003704035.1	Primary Assembly	Un			ML112951.1	Chromosome		NW_024590341.1	unplaced-scaffold	39088			scaffold00739
GCF_003704035.1	Primary Assembly	Un			ML112952.1	Chromosome		NW_024590342.1	unplaced-scaffold	41431			scaffold00740
GCF_003704035.1	Primary Assembly	Un			ML112953.1	Chromosome		NW_024590343.1	unplaced-scaffold	42403			scaffold00741
GCF_003704035.1	Primary Assembly	Un			ML112954.1	Chromosome		NW_024590344.1	unplaced-scaffold	41626			scaffold00742
GCF_003704035.1	Primary Assembly	Un			ML112955.1	Chromosome		NW_024590345.1	unplaced-scaffold	38302			scaffold00743
GCF_003704035.1	Primary Assembly	Un			ML112956.1	Chromosome		NW_024590346.1	unplaced-scaffold	38508			scaffold00745
GCF_003704035.1	Primary Assembly	Un			ML112957.1	Chromosome		NW_024590347.1	unplaced-scaffold	37235			scaffold00746
GCF_003704035.1	Primary Assembly	Un			ML112958.1	Chromosome		NW_024590348.1	unplaced-scaffold	39023			scaffold00747
GCF_003704035.1	Primary Assembly	Un			ML112959.1	Chromosome		NW_024590349.1	unplaced-scaffold	43988			scaffold00748
GCF_003704035.1	Primary Assembly	Un			ML112960.1	Chromosome		NW_024590350.1	unplaced-scaffold	39082			scaffold00749
GCF_003704035.1	Primary Assembly	Un			ML112961.1	Chromosome		NW_024590351.1	unplaced-scaffold	39945			scaffold00750
GCF_003704035.1	Primary Assembly	Un			ML112962.1	Chromosome		NW_024590352.1	unplaced-scaffold	36925			scaffold00751
GCF_003704035.1	Primary Assembly	Un			ML112963.1	Chromosome		NW_024590353.1	unplaced-scaffold	36260			scaffold00752
GCF_003704035.1	Primary Assembly	Un			ML112964.1	Chromosome		NW_024590354.1	unplaced-scaffold	36296			scaffold00753
GCF_003704035.1	Primary Assembly	Un			ML112965.1	Chromosome		NW_024590355.1	unplaced-scaffold	36144			scaffold00754
GCF_003704035.1	Primary Assembly	Un			ML112966.1	Chromosome		NW_024590356.1	unplaced-scaffold	36695			scaffold00755
GCF_003704035.1	Primary Assembly	Un			ML112967.1	Chromosome		NW_024590357.1	unplaced-scaffold	36805			scaffold00756
GCF_003704035.1	Primary Assembly	Un			ML112968.1	Chromosome		NW_024590358.1	unplaced-scaffold	36614			scaffold00758
GCF_003704035.1	Primary Assembly	Un			ML112969.1	Chromosome		NW_024590359.1	unplaced-scaffold	34917			scaffold00760
GCF_003704035.1	Primary Assembly	Un			ML112970.1	Chromosome		NW_024590360.1	unplaced-scaffold	43108			scaffold00761
GCF_003704035.1	Primary Assembly	Un			ML112971.1	Chromosome		NW_024590361.1	unplaced-scaffold	32963			scaffold00764
GCF_003704035.1	Primary Assembly	Un			ML112972.1	Chromosome		NW_024590362.1	unplaced-scaffold	34197			scaffold00765
GCF_003704035.1	Primary Assembly	Un			ML112973.1	Chromosome		NW_024590364.1	unplaced-scaffold	32985			scaffold00767
GCF_003704035.1	Primary Assembly	Un			ML112974.1	Chromosome		NW_024590365.1	unplaced-scaffold	35614			scaffold00768
GCF_003704035.1	Primary Assembly	Un			ML112975.1	Chromosome		NW_024590366.1	unplaced-scaffold	33627			scaffold00771
GCF_003704035.1	Primary Assembly	Un			ML112976.1	Chromosome		NW_024590367.1	unplaced-scaffold	34971			scaffold00772
GCF_003704035.1	Primary Assembly	Un			ML112977.1	Chromosome		NW_024590368.1	unplaced-scaffold	33666			scaffold00773
GCF_003704035.1	Primary Assembly	Un			ML112978.1	Chromosome		NW_024590369.1	unplaced-scaffold	34130			scaffold00774
GCF_003704035.1	Primary Assembly	Un			ML112979.1	Chromosome		NW_024590370.1	unplaced-scaffold	33413			scaffold00775
GCF_003704035.1	Primary Assembly	Un			ML112980.1	Chromosome		NW_024590371.1	unplaced-scaffold	32391			scaffold00776
GCF_003704035.1	Primary Assembly	Un			ML112981.1	Chromosome		NW_024590372.1	unplaced-scaffold	32312			scaffold00777
GCF_003704035.1	Primary Assembly	Un			ML112982.1	Chromosome		NW_024590373.1	unplaced-scaffold	33002			scaffold00778
GCF_003704035.1	Primary Assembly	Un			ML112983.1	Chromosome		NW_024590374.1	unplaced-scaffold	35810			scaffold00779
GCF_003704035.1	Primary Assembly	Un			ML112984.1	Chromosome		NW_024590375.1	unplaced-scaffold	34721			scaffold00780
GCF_003704035.1	Primary Assembly	Un			ML112985.1	Chromosome		NW_024590376.1	unplaced-scaffold	33778			scaffold00781
GCF_003704035.1	Primary Assembly	Un			ML112986.1	Chromosome		NW_024590377.1	unplaced-scaffold	31924			scaffold00782
GCF_003704035.1	Primary Assembly	Un			ML112987.1	Chromosome		NW_024590379.1	unplaced-scaffold	32515			scaffold00784
